Date,Open,High,Low,Close,Volume,Change
2018-07-30,6450,6660,6410,6620,977149,0.02635658914728678
2018-07-31,6670,6870,6640,6860,1164157,0.03625377643504524
2018-08-01,6910,6920,6760,6890,597310,0.004373177842565523
2018-08-02,6890,6890,6730,6830,419586,-0.00870827285921627
2018-08-03,6860,6920,6820,6870,302960,0.005856515373352744
2018-08-06,6950,6950,6800,6800,268472,-0.010189228529839833
2018-08-07,6820,6880,6790,6880,283419,0.0117647058823529
2018-08-08,6850,6860,6620,6680,540164,-0.029069767441860517
2018-08-09,6680,6740,6650,6740,229024,0.008982035928143617
2018-08-10,6630,6740,6630,6720,292258,-0.0029673590504450953
2018-08-13,6650,6670,6450,6480,396442,-0.0357142857142857
2018-08-14,6530,6580,6480,6560,210319,0.012345679012345734
2018-08-16,6510,6610,6400,6580,284533,0.0030487804878047697
2018-08-17,6640,6730,6580,6670,210282,0.013677811550151908
2018-08-20,6720,6720,6570,6590,220404,-0.01199400299850073
2018-08-21,6590,6730,6550,6720,298133,0.019726858877086473
2018-08-22,6740,6740,6580,6580,322938,-0.02083333333333337
2018-08-23,6570,6680,6560,6680,213034,0.015197568389057725
2018-08-24,6640,6670,6550,6630,255305,-0.007485029940119792
2018-08-27,6600,6660,6540,6610,374609,-0.003016591251885359
2018-08-28,6680,6810,6670,6680,486037,0.010590015128593144
2018-08-29,6680,6740,6650,6700,279235,0.0029940119760478723
2018-08-30,6690,6780,6640,6660,318384,-0.005970149253731294
2018-08-31,6660,6720,6570,6670,330905,0.0015015015015014122
2018-09-03,6660,6690,6640,6670,211354,0.0
2018-09-04,6730,7390,6670,7360,3857825,0.10344827586206895
2018-09-05,7410,7570,7250,7300,2058012,-0.008152173913043459
2018-09-06,7360,7440,7200,7340,854189,0.005479452054794498
2018-09-07,7220,7460,7160,7360,925270,0.0027247956403269047
2018-09-10,7370,7390,7260,7320,462513,-0.005434782608695676
2018-09-11,7310,7340,7150,7210,723240,-0.015027322404371546
2018-09-12,7250,7560,7210,7360,1560582,0.020804438280166426
2018-09-13,7440,7470,7340,7390,706038,0.0040760869565217295
2018-09-14,7410,7450,7260,7370,451013,-0.0027063599458727605
2018-09-17,7400,7400,7190,7260,416853,-0.014925373134328401
2018-09-18,7270,7540,7170,7450,1085315,0.026170798898071723
2018-09-19,7490,7520,7320,7370,538817,-0.010738255033557076
2018-09-20,7370,7470,7170,7190,546250,-0.024423337856173677
2018-09-21,7210,7440,7210,7420,658754,0.03198887343532686
2018-09-27,7420,7730,7420,7670,1426049,0.03369272237196763
2018-09-28,7660,7680,7520,7540,615206,-0.016949152542372836
2018-10-01,7540,7660,7410,7450,630345,-0.011936339522546469
2018-10-02,7460,7510,7180,7210,675201,-0.03221476510067112
2018-10-04,7210,7300,7110,7120,379275,-0.012482662968099856
2018-10-05,7100,7230,6990,7100,524335,-0.002808988764044895
2018-10-08,7080,7210,7010,7020,311825,-0.011267605633802802
2018-10-10,7060,7150,6740,6780,585905,-0.03418803418803418
2018-10-11,6500,6750,6450,6450,804362,-0.04867256637168138
2018-10-12,6380,6690,6380,6650,434420,0.03100775193798455
2018-10-15,6650,6690,6450,6490,399740,-0.024060150375939893
2018-10-16,6430,6640,6430,6570,248908,0.012326656394453073
2018-10-17,6800,6800,6620,6700,331305,0.019786910197869156
2018-10-18,6740,6740,6510,6540,301128,-0.023880597014925398
2018-10-19,6440,6690,6430,6650,283986,0.01681957186544336
2018-10-22,6650,6740,6530,6700,202310,0.007518796992481258
2018-10-23,6660,6700,6140,6190,799134,-0.07611940298507458
2018-10-24,6280,6340,5950,5990,814882,-0.03231017770597733
2018-10-25,5770,5950,5750,5850,792237,-0.023372287145242088
2018-10-26,6000,6000,5580,5670,721843,-0.03076923076923077
2018-10-29,5630,5840,5260,5270,823461,-0.07054673721340388
2018-10-30,5120,5440,5100,5360,878755,0.017077798861480087
2018-10-31,5410,5570,5320,5510,585390,0.027985074626865725
2018-11-01,5560,5600,5420,5420,673971,-0.016333938294010864
2018-11-02,5520,5660,5470,5660,744732,0.04428044280442811
2018-11-05,5590,5590,5450,5580,542990,-0.014134275618374548
2018-11-06,5590,5600,5490,5570,452422,-0.0017921146953404632
2018-11-07,5650,5690,5500,5500,572266,-0.012567324955116699
2018-11-08,5600,5690,5550,5580,477403,0.014545454545454639
2018-11-09,5640,5650,5530,5610,341018,0.005376344086021501
2018-11-12,5530,5700,5520,5610,335578,0.0
2018-11-13,5480,5690,5360,5570,516233,-0.007130124777183555
2018-11-14,5630,5630,5450,5470,351918,-0.01795332136445238
2018-11-15,5470,5520,5380,5520,303357,0.009140767824497242
2018-11-16,5610,5610,5480,5560,360566,0.007246376811594235
2018-11-19,5560,5620,5540,5620,316774,0.010791366906474753
2018-11-20,5540,5600,5480,5500,322335,-0.02135231316725983
2018-11-21,5450,5550,5380,5470,328218,-0.00545454545454549
2018-11-22,5470,5570,5450,5490,244226,0.003656307129798808
2018-11-23,5530,5530,5370,5400,278096,-0.016393442622950838
2018-11-26,5380,5480,5380,5440,219989,0.007407407407407307
2018-11-27,5470,5530,5420,5500,301657,0.011029411764705843
2018-11-28,5520,5540,5450,5500,276921,0.0
2018-11-29,5560,5720,5520,5520,712933,0.0036363636363636598
2018-11-30,5550,5640,5490,5520,332061,0.0
2018-12-03,5600,5750,5580,5740,532971,0.03985507246376807
